layer,head,relation_verbal
12,9,0.16619765758514404
12,10,0.31701895594596863
12,11,0.20716021955013275
12,12,0.20222944021224976
12,13,0.1445111483335495
12,14,0.21377764642238617
12,15,0.14698630571365356
12,16,0.0911063551902771
12,17,0.12974314391613007
12,18,0.28274011611938477
12,19,0.2574077844619751
12,20,0.18035359680652618
12,21,0.0960092544555664
12,22,0.09231901168823242
12,23,0.16568516194820404
12,24,0.22407804429531097
12,25,0.2691252827644348
12,26,0.19706523418426514
12,27,0.23648953437805176
12,28,0.20717072486877441
12,29,0.2982984781265259
12,30,0.14358487725257874
12,31,0.18765652179718018
13,0,0.14305230975151062
13,1,0.16030721366405487
13,2,0.14156925678253174
13,3,0.15373842418193817
13,4,0.09627178311347961
13,5,0.1334800273180008
13,6,0.37687280774116516
13,7,0.11324623227119446
13,8,0.11321546882390976
13,9,0.18954703211784363
13,10,0.15662796795368195
13,11,0.17140622437000275
13,12,0.12307506054639816
13,13,0.2074560821056366
13,14,0.23253022134304047
13,15,0.2108737677335739
13,16,0.17210328578948975
13,17,0.24334199726581573
13,18,0.12742222845554352
13,19,0.26252293586730957
13,20,0.19119784235954285
13,21,0.2805180549621582
13,22,0.3457520008087158
13,23,0.3229012191295624
13,24,0.13827018439769745
13,25,0.2893480956554413
13,26,0.2756573259830475
13,27,0.2858123779296875
13,28,0.1150510385632515
13,29,0.13827084004878998
13,30,0.11514531821012497
13,31,0.09277356415987015
14,0,0.21991556882858276
14,1,0.17823652923107147
14,2,0.21185190975666046
14,3,0.14754828810691833
14,4,0.25686657428741455
14,5,0.2610888183116913
14,6,0.23553140461444855
14,7,0.25835031270980835
14,8,0.17714382708072662
14,9,0.13810409605503082
14,10,0.1610916405916214
14,11,0.16792058944702148
14,12,0.15789124369621277
14,13,0.1791461557149887
14,14,0.3647550344467163
14,15,0.2019154131412506
14,16,0.10412079095840454
14,17,0.055963754653930664
14,18,0.09299997985363007
14,19,0.1179976835846901
14,20,0.06585104018449783
14,21,0.12730726599693298
14,22,0.08102259784936905
14,23,0.10296032577753067
14,24,0.17568068206310272
14,25,0.13472189009189606
14,26,0.06018100678920746
14,27,0.25604307651519775
14,28,0.20975665748119354
14,29,0.1694260686635971
14,30,0.164946511387825
14,31,0.20522922277450562
15,0,0.08656520396471024
15,1,0.1473817527294159
15,2,0.06333266943693161
15,3,0.1090412512421608
15,4,0.10313162207603455
15,5,0.2289728969335556
15,6,0.20141816139221191
15,7,0.1885116994380951
15,8,0.2410804033279419
15,9,0.17207494378089905
15,10,0.20666328072547913
15,11,0.18075725436210632
15,12,0.14233453571796417
15,13,0.23153547942638397
15,14,0.1073920801281929
15,15,0.07842321693897247
15,16,0.1259281188249588
15,17,0.06589661538600922
15,18,0.054620496928691864
15,19,0.18233762681484222
15,20,0.25858044624328613
15,21,0.24515576660633087
15,22,0.18197521567344666
15,23,0.19305045902729034
15,24,0.256282776594162
15,25,0.10136812925338745
15,26,0.11338318139314651
15,27,0.2068941444158554
15,28,0.05073030665516853
15,29,0.142047718167305
15,30,0.20727655291557312
15,31,0.06205829232931137
16,0,0.10883814841508865
16,1,0.19912324845790863
16,2,0.07971009612083435
16,3,0.09308763593435287
16,4,0.1230817511677742
16,5,0.11440787464380264
16,6,0.06226053088903427
16,7,0.0787234902381897
16,8,0.06916238367557526
16,9,0.014442346058785915
16,10,0.11682717502117157
16,11,0.043770503252744675
16,12,0.06872227787971497
16,13,0.05343387648463249
16,14,0.011855912394821644
16,15,0.10563072562217712
16,16,0.14358586072921753
16,17,0.10128168761730194
16,18,0.06093437597155571
16,19,0.10399806499481201
16,20,-0.02903367578983307
16,21,0.05844637379050255
16,22,0.08252204209566116
16,23,0.011813080869615078
16,24,0.04465913027524948
16,25,0.16151322424411774
16,26,0.07681439816951752
16,27,0.1497853398323059
16,28,0.1381048709154129
16,29,0.1556188017129898
16,30,0.16765879094600677
16,31,0.0908331573009491
17,0,0.08745933324098587
17,1,0.033428773283958435
17,2,0.014189351350069046
